Gabriel Prado,Nitro,Singles,Bronze
Tristan Ohler,Gamma,Singles,Bronze
Dominick Robinson,Gamma,Singles,Silver
Alexa Carl,Gamma,Singles,Gold
Tristan Ohler,Battle at the Bridge,Doubles,Silver
Gavin Ohler,Battle at the Bridge,Doubles,Silver
Dominick Robinson,Battle at the Bridge,Doubles,Bronze
Gabriel Prado,Battle at the Bridge,Doubles,Bronze
Tristan Ohler,WV Championships,Doubles,Gold
Claire Marlowe,WV Championships,Doubles,Gold
Dominick Robinson,CMU vs CWRU vs OSU,Doubles,Silver
Gabriel Prado,CMU vs CWRU vs OSU,Doubles,Silver